id,city_id,driver_id,car_id,date,sum
30,87,842,57,2025-09-22 22:02:49,213
36,48,211,2019,2025-09-22 23:03:49,129
52,47,202,894,2025-09-22 09:39:46,198
56,59,194,694,2025-09-22 09:51:15,118
65,23,213,3153,2025-09-22 17:47:08,453
107,80,729,3424,2025-09-22 12:04:11,339
113,19,680,1847,2025-09-22 05:13:39,215
121,80,151,2966,2025-09-22 17:49:38,51
122,35,554,4887,2025-09-22 23:09:53,227
126,37,795,2889,2025-09-22 09:06:21,313
127,63,640,4551,2025-09-22 20:55:45,167
180,13,672,1322,2025-09-22 09:58:05,207
204,53,474,1357,2025-09-22 19:28:10,378
286,78,258,1376,2025-09-22 16:34:26,240
440,38,682,814,2025-09-22 14:01:23,397
452,21,516,584,2025-09-22 22:56:47,267
509,23,742,4991,2025-09-22 15:31:26,228
525,76,842,2317,2025-09-22 20:03:28,296
545,71,771,3697,2025-09-22 12:13:59,182
583,70,678,318,2025-09-22 11:39:28,26
616,67,274,2063,2025-09-22 15:18:36,204
658,60,891,154,2025-09-22 13:08:47,311
747,44,1016,967,2025-09-22 12:09:09,400
774,53,731,1423,2025-09-22 19:53:24,236
875,66,151,1478,2025-09-22 11:46:29,163
882,52,482,448,2025-09-22 12:56:13,332
931,91,1065,1821,2025-09-22 09:50:46,212
958,84,877,4612,2025-09-22 20:35:46,125
1057,60,410,3802,2025-09-22 11:49:25,276
1059,1,624,1018,2025-09-22 10:52:13,441
1068,77,514,1151,2025-09-22 08:13:32,173
1075,61,1029,2931,2025-09-22 13:02:03,193
1089,16,989,1054,2025-09-22 09:04:11,205
1106,25,119,1821,2025-09-22 12:21:44,12
1127,27,812,2116,2025-09-22 21:21:44,332
1175,13,544,950,2025-09-22 15:32:37,382
1212,82,958,723,2025-09-22 11:04:10,311
1237,75,685,1734,2025-09-22 18:16:16,373
1248,79,989,376,2025-09-22 13:14:49,388
1263,58,282,1618,2025-09-22 15:48:54,48
1272,79,964,2360,2025-09-22 10:41:29,164
1301,10,865,280,2025-09-22 19:17:24,88
1308,3,499,3736,2025-09-22 14:47:49,70
1316,51,942,2267,2025-09-22 08:32:45,25
1334,10,398,195,2025-09-22 12:41:36,44
1340,43,732,3417,2025-09-22 20:18:38,166
1346,47,238,4908,2025-09-22 21:38:51,385
1363,65,111,4172,2025-09-22 09:29:37,132
1434,79,383,4122,2025-09-22 17:30:50,213
1495,11,793,,2025-09-22 19:36:00,262
1534,45,989,1394,2025-09-22 20:56:32,320
1616,7,985,3290,2025-09-22 10:45:23,121
1645,93,165,4688,2025-09-22 12:12:37,285
1672,59,820,879,2025-09-22 18:02:12,228
1732,30,305,2220,2025-09-22 12:39:44,201
1743,89,816,2760,2025-09-22 13:44:03,19
1773,75,655,2410,2025-09-22 15:23:45,419
1789,30,337,2661,2025-09-22 17:54:10,23
1924,99,552,1574,2025-09-22 06:57:16,70
1940,92,877,3112,2025-09-22 16:05:45,424
1977,97,251,4399,2025-09-22 10:55:43,86
1997,37,994,,2025-09-22 09:02:38,74
2018,95,780,,2025-09-22 10:47:02,49
2043,50,344,2830,2025-09-22 08:33:12,235
2054,58,492,,2025-09-22 15:59:20,171
2122,67,570,1020,2025-09-22 22:13:35,455
2136,16,1100,,2025-09-22 11:23:05,304
2217,27,907,3946,2025-09-22 22:47:10,51
2230,35,616,1395,2025-09-22 08:14:34,226
2234,91,645,,2025-09-22 12:17:48,432
2244,38,527,2543,2025-09-22 15:10:06,287
2251,63,708,4105,2025-09-22 11:43:31,366
2265,91,136,1903,2025-09-22 17:49:03,172
2289,8,1031,3927,2025-09-22 06:39:46,194
2313,16,770,,2025-09-22 18:54:39,467
2319,34,744,1777,2025-09-22 10:51:56,253
2388,61,1062,613,2025-09-22 10:44:18,198
2389,23,114,3221,2025-09-22 12:09:12,261
2391,67,775,718,2025-09-22 04:28:45,53
2407,9,611,1102,2025-09-22 15:12:59,23
2464,66,565,3254,2025-09-22 20:19:43,400
2492,47,788,,2025-09-22 11:09:31,463
2564,37,845,1131,2025-09-22 21:30:25,106
2571,89,508,3406,2025-09-22 13:30:46,118
2576,46,721,4236,2025-09-22 00:58:13,420
2608,99,611,1102,2025-09-22 16:22:23,58
2615,35,709,1681,2025-09-22 01:49:23,12
2630,40,1026,2299,2025-09-22 20:53:45,318
2631,17,468,3269,2025-09-22 23:24:18,59
2639,29,764,2557,2025-09-22 04:41:49,375
2652,15,859,2667,2025-09-22 21:56:25,246
2698,76,1031,2508,2025-09-22 01:33:14,183
2702,54,954,2191,2025-09-22 21:59:19,344
2746,98,138,171,2025-09-22 18:36:46,482
2779,92,687,153,2025-09-22 22:13:08,81
2787,10,479,12,2025-09-22 08:39:58,279
2829,3,224,1862,2025-09-22 16:04:52,489
2875,41,1006,,2025-09-22 22:10:14,494
2888,86,556,1737,2025-09-22 11:24:29,73
2904,71,299,4469,2025-09-22 18:44:13,388
2905,73,789,1119,2025-09-22 10:21:24,318
2914,55,757,4778,2025-09-22 12:39:16,492
2917,36,225,957,2025-09-22 19:18:45,275
2949,84,1061,1988,2025-09-22 16:02:18,410
2964,76,774,,2025-09-22 17:39:02,84
3007,61,910,502,2025-09-22 05:59:52,324
3094,50,1033,3377,2025-09-22 12:42:06,103
3098,69,399,2027,2025-09-22 18:58:43,479
3119,98,112,1158,2025-09-22 16:32:04,149
3124,67,757,4778,2025-09-22 13:00:39,376
